region,country,code,rank,score,total_population,gdp,social,health,freedom,generosity,corruption,dystopia,rank_old,score_old,gdp_old,social_old,health_old,freedom_old,corruption_old,generosity_old,score_change,gdp_change,social_change,health_change,freedom_change,generosity_change,corruption_change
Central and Eastern Europe,Moldova,MDA,71,5.529,,0.685,1.328,0.739,0.245,0.181,0,3.10712,52,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,-0.36,0.09052,0.31272,0.12074,-0.08318,-0.02851,-0.01615
Central and Eastern Europe,Serbia,SRB,70,5.603,9863026,1.004,1.383,0.854,0.282,0.137,0.039,2.025,87,5.123,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,0.48,0.08347,0.37336,0.10564,0.08093,-0.05531,0.01283
Southeastern Asia,Philippines,PHL,69,5.631,84566163,0.807,1.293,0.657,0.558,0.117,0.107,1.7536,90,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,0.558,0.10168,0.25784,0.07586,-0.06745,-0.13291,-0.01579
Central and Eastern Europe,Russia,RUS,68,5.648,143953092,1.183,1.452,0.726,0.334,0.082,0.031,2.27394,64,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,-0.068,0.04536,0.21583,0.05674,-0.03279,0.08001,0.00095
Southern Asia,Pakistan,PAK,67,5.653,158080591,0.677,0.886,0.535,0.313,0.22,0.098,3.10709,81,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,0.459,0.08157,0.47189,0.02034,0.19198,-0.11671,-0.00664
Western Europe,Portugal,PRT,66,5.693,10528226,1.221,1.431,0.999,0.508,0.047,0.025,1.26462,88,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,0.591,0.06109,0.29165,0.12381,-0.00669,-0.09019,0.01422
Latin America and Caribbean,Peru,PER,65,5.697,27274266,0.96,1.274,0.854,0.455,0.083,0.027,2.5945,58,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,-0.127,0.05981,0.29941,0.12383,0.04004,-0.06682,-0.03289
,Northern Cyprus,-99,64,5.718,,1.263,1.252,1.042,0.417,0.191,0.162,2.18896,,,,,,,,,,,,,,,
Latin America and Caribbean,Paraguay,PRY,63,5.743,5904342,0.855,1.475,0.777,0.514,0.184,0.08,2.18896,53,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,-0.135,0.09515,0.17023,0.11602,-0.02499,-0.1584,-0.00242
Central and Eastern Europe,Hungary,HUN,62,5.758,10086387,1.201,1.41,0.828,0.199,0.081,0.02,1.24074,104,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,0.958,0.08006,0.20785,0.06895,-0.12212,-0.047,-0.00758
Latin America and Caribbean,Bolivia,BOL,61,5.779,9182015,0.776,1.209,0.706,0.511,0.137,0.064,2.82334,51,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,-0.111,0.09467,0.23059,0.1668,-0.06314,-0.06836,-0.024
Central and Eastern Europe,Kazakhstan,KAZ,60,5.809,15210609,1.173,1.508,0.729,0.41,0.146,0.096,2.24729,54,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,-0.046,0.05046,0.38559,0.08532,-0.10649,0.02773,0.01146
Latin America and Caribbean,Honduras,HND,59,5.86,683411,0.642,1.236,0.828,0.507,0.246,0.078,1.84408,105,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.072,0.04668,0.28252,0.1329,0.10552,0.01573,0.00975
